positionID,maternalID,paternalID,position,row,block,Germ,flw,total.pods,total.pods.collected,totalseeds,cohort,year,seedpool
213,165,81,35,212,2A,0,0,0,0,0,greenhouse,2015,NA
214,165,81,35.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
215,165,81,35.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
216,54,60,36.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
217,54,60,36.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
218,54,60,37,212,2A,0,0,0,0,0,greenhouse,2015,NA
219,54,60,37.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
220,54,60,37.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
221,94,160,38.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
222,94,160,38.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
223,94,160,39,212,2A,0,0,0,0,0,greenhouse,2015,NA
224,94,160,39.1,212,2A,1,0,0,0,0,greenhouse,2015,NA
225,94,160,39.2,212,2A,1,0,0,0,0,greenhouse,2015,NA
226,3,162,40.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
227,3,162,40.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
228,3,162,41,212,2A,1,1,6,2,7,greenhouse,2015,NA
229,3,162,41.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
230,3,162,41.2,212,2A,1,1,0,0,0,greenhouse,2015,NA
231,172,98,42.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
232,172,98,42.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
233,172,98,43,212,2A,0,0,0,0,0,greenhouse,2015,NA
234,172,98,43.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
235,172,98,43.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
236,188,6,44.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
237,188,6,44.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
238,188,6,45,212,2A,0,0,0,0,0,greenhouse,2015,NA
239,188,6,45.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
240,188,6,45.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
241,51,1,46.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
242,51,1,46.9,212,2A,1,1,0,0,0,greenhouse,2015,NA
243,51,1,47,212,2A,0,0,0,0,0,greenhouse,2015,NA
244,51,1,47.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
245,51,1,47.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
246,24,34,48.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
247,24,34,48.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
248,24,34,49,212,2A,1,1,2,2,9,greenhouse,2015,NA
249,24,34,49.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
250,24,34,49.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
251,145,166,0.8,222,2A,0,0,0,0,0,greenhouse,2015,NA
252,145,166,0.9,222,2A,0,0,0,0,0,greenhouse,2015,NA
253,145,166,1,222,2A,0,0,0,0,0,greenhouse,2015,NA
254,145,166,1.1,222,2A,0,0,0,0,0,greenhouse,2015,NA
255,145,166,1.2,222,2A,0,0,0,0,0,greenhouse,2015,NA
